organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
BU,H23-RS-5,480579,,51.382470,-114.999370,,Visible,
BU,H23-RS-4,480580,,51.446020,-115.043870,,Visible,
BU,H23-RS-3,480581,,51.456380,-114.992530,,Visible,
BU,H23-RS-234,480582,,51.659980,-115.273750,,Visible,
BU,H23-RS-237,480583,,51.660649,-115.363501,,Visible,
BU,H23-RS-233,480584,,51.659585,-115.278929,,Visible,
BU,H23-RS-231,480585,,51.675510,-115.329920,,Visible,
BU,H23-RS-230,480586,,51.389847,-115.009015,,Visible,
BU,H23-RS-232,480587,,51.661710,-115.284000,,Visible,
BU,H23-RS-228,480588,,51.391998,-115.004407,,Visible,
BU,H23-RS-227,480589,,51.942590,-115.178910,,Visible,
BU,H23-RS-224,480590,,55.605312,-114.989099,,Visible,
BU,H23-RS-222,480591,,51.549335,-115.016144,,Visible,
BU,H23-RS-221,480592,,51.897395,-115.008394,,Visible,
BU,H23-RS-216,480593,,55.663370,-113.433560,,Visible,
BU,H23-RS-215,480594,,51.653462,-115.183491,,Visible,
BU,H23-RS-204,480595,,55.211060,-113.478590,,Visible,
BU,H23-RS-209,480596,,51.880253,-115.111987,,Visible,
BU,H23-RS-212,480597,,51.353480,-114.989350,,Visible,
BU,H23-RS-202,480598,,55.207040,-113.474350,,Visible,
BU,H23-RS-185,480599,,55.245250,-113.577400,,Visible,
BU,H23-RS-187,480600,,51.563290,-115.014700,,Visible,
BU,H23-RS-198,480601,,55.111930,-115.230830,,Visible,
BU,H23-RS-200,480602,,51.522720,-115.240440,,Visible,
BU,H23-RS-184,480603,,51.680104,-115.332787,,Visible,
BU,H23-RS-182,480604,,54.699290,-114.890700,,Visible,
BU,H23-RS-180,480605,,51.702962,-114.900119,,Visible,
BU,H23-RS-173,480606,,51.667130,-115.321690,,Visible,
BU,H23-RS-177,480607,,51.678160,-115.306235,,Visible,
BU,H23-RS-175,480608,,51.673780,-115.315415,,Visible,
BU,H23-RS-172,480609,,51.695300,-115.356990,,Visible,
BU,H23-RS-167,480610,,51.450164,-114.940259,,Visible,
BU,H23-RS-169,480611,,51.686126,-115.347580,,Visible,
BU,H23-RS-162,480612,,51.943830,-115.194390,,Visible,
BU,H23-RS-165,480613,,51.550948,-115.026998,,Visible,
BU,H23-RS-159,480614,,51.962520,-115.221272,,Visible,
BU,H23-RS-156,480615,,51.255497,-114.893407,,Visible,
BU,H23-RS-157,480616,,51.942020,-115.183040,,Visible,
BU,H23-RS-153,480617,,51.364480,-114.977109,,Visible,
BU,H23-RS-154,480618,,51.261520,-114.890790,,Visible,
BU,H23-RS-151,480619,,51.367289,-114.975044,,Visible,
BU,H23-RS-143,480620,,51.714720,-115.335440,,Visible,
BU,H23-RS-140,480621,,58.666000,-117.428270,,Visible,
BU,H23-RS-141,480622,,51.690790,-115.297895,,Visible,
BU,H23-RS-147,480623,,51.596879,-115.151488,,Visible,
BU,H23-RS-138,480624,,58.674240,-117.408970,,Visible,
BU,H23-RS-137,480625,,51.658351,-115.359815,,Visible,
BU,H23-RS-122,480626,,55.325717,-115.086867,,Visible,
BU,H23-RS-129,480627,,51.470990,-115.210730,,Visible,
BU,H23-RS-118,480628,,51.457700,-115.019880,,Visible,
BU,H23-RS-116,480629,,51.451670,-114.960040,,Visible,
BU,H23-RS-117,480630,,51.451360,-114.992910,,Visible,
BU,H23-RS-112,480631,,51.452280,-114.945710,,Visible,
BU,H23-RS-110,480632,,51.652240,-115.297210,,Visible,
BU,H23-RS-109,480633,,51.496271,-115.083990,,Visible,
BU,H23-CC-89,480634,,51.374790,-114.993930,,Visible,
BU,H23-CC-236,480635,,51.658810,-115.366960,,Visible,
BU,H23-CC-235,480636,,51.657577,-115.270427,,Visible,
BU,H23-RS-108,480637,,55.329694,-115.091744,,Visible,
BU,H23-CC-229,480638,,51.394260,-115.008640,,Visible,
BU,H23-CC-225,480639,,55.614130,-114.990710,,Visible,
BU,H23-CC-214,480640,,51.663890,-115.122170,,Visible,
BU,H23-CC-210,480641,,51.877560,-115.113094,,Visible,
BU,H23-CC-213,480642,,51.664435,-115.129993,,Visible,
BU,H23-CC-211,480643,,51.881350,-115.102750,,Visible,
BU,H23-CC-201,480644,,51.525136,-115.235871,,Visible,
BU,H23-CC-203,480645,,55.210320,-113.469330,,Visible,
BU,H23-CC-199,480646,,55.113334,-115.236637,,Visible,
BU,H23-CC-2,480647,,51.448020,-114.991230,,Visible,
BU,H23-CC-205,480648,,51.569550,-114.969500,,Visible,
BU,H23-CC-191,480649,,55.600350,-112.283110,,Visible,
BU,H23-CC-197,480650,,55.110440,-115.235670,,Visible,
BU,H23-CC-195,480651,,51.636890,-115.166360,,Visible,
BU,H23-CC-196,480652,,51.636740,-115.152502,,Visible,
BU,H23-CC-190,480653,,55.598330,-112.271320,,Visible,
BU,H23-CC-186,480654,,51.556830,-115.020690,,Visible,
BU,H23-CC-181,480655,,51.701140,-114.895070,,Visible,
BU,H23-CC-178,480656,,51.681610,-115.305840,,Visible,
BU,H23-CC-176,480657,,51.670711,-115.307841,,Visible,
BU,H23-CC-174,480658,,51.669650,-115.316430,,Visible,
