organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
BU,FHP-G-287F22,485739,,51.435290,-114.941130,,Visible,
BU,FHP-G-288O22,485740,,51.370530,-114.988460,,Visible,
BU,FHP-G-3010L22,485741,,51.557830,-115.387550,,Visible,
BU,FHP-G-309L22,485742,,51.570350,-115.177090,,Visible,
BU,FHP-S-318R22,485743,,51.648760,-115.018270,,Visible,
BU,FHP-G-279H22,485744,,51.287470,-115.130280,,Visible,
BU,FHP-G-279F22,485745,,51.306980,-115.182890,,Visible,
BU,FHP-G-308H22,485746,,51.616650,-115.047460,,Visible,
BU,FHP-G-277H22,485747,,51.305290,-114.992820,,Visible,
BU,FHP-G-309F22,485748,,51.613310,-115.209100,,Visible,
BU,FHP-S-318H22,485749,,51.661750,-115.069610,,Visible,
BU,FHP-S-318L22,485750,,51.644230,-115.092600,,Visible,
BU,FHP-G-278R22,485751,,51.309860,-115.066630,,Visible,
BU,FHP-S-3110H22,485752,,51.642510,-115.311460,,Visible,
BU,FHP-G-317O22,485753,,51.632740,-114.923010,,Visible,
BU,FHP-G-269L22,485754,,51.271350,-115.117820,,Visible,
BU,FHP-G-3010O22,485755,,51.598530,-115.385320,,Visible,
BU,FHP-G-297R22,485756,,51.481800,-114.848340,,Visible,
BU,FHP-G-279O22,485757,,51.297290,-115.141610,,Visible,
BU,FHP-G-307R22,485758,,51.586630,-114.940890,,Visible,
BU,FHP-G-309O22,485759,,51.617930,-115.247090,,Visible,
BU,FHP-G-288L22,485760,,51.380520,-115.095830,,Visible,
BU,FHP-G-308O22,485761,,51.596040,-115.001370,,Visible,
BU,FHP-G-288R22,485762,,51.390440,-115.017350,,Visible,
BU,FHP-G-289F22,485763,,51.370510,-115.219630,,Visible,
BU,FHP-G-298R22,485764,,51.461460,-115.109440,,Visible,
BU,FHP-S-3110L22,485765,,51.668200,-115.327290,,Visible,
BU,FHP-G-307L22,485766,,51.569530,-114.866110,,Visible,
BU,FHP-G-277H22S,485767,,51.300720,-114.932820,,Visible,
BU,FHP-G-297L22,485768,,51.495350,-114.973840,,Visible,
BU,FHP-G-287R22,485769,,51.362830,-114.981570,,Visible,
BU,FHP-G-308F22,485770,,51.607390,-115.019160,,Visible,
BU,FHP-S-3110R22,485771,,51.634170,-115.291110,,Visible,
BU,FHP-G-277L22,485772,,51.321550,-114.984040,,Visible,
BU,FHP-G-309F22S,485773,,51.587680,-115.171140,,Visible,
BU,FHP-G-279L22,485774,,51.302030,-115.174240,,Visible,
BU,FHP-G-317R22,485775,,51.649550,-114.978380,,Visible,
BU,FHP-G-297F22,485776,,51.513950,-114.962610,,Visible,
BU,FHP-S-319L22,485777,,51.666180,-115.209780,,Visible,
BU,FHP-G-299O22,485778,,51.532470,-115.192860,,Visible,
BU,FHP-G-307F22,485779,,51.594920,-114.939920,,Visible,
BU,FHP-G-288F22,485780,,51.375340,-115.050860,,Visible,
